"make","model","length","year","price","url"
"Bavaria","39 ft 2007 Bavaria 39 Cruiser","39","2007","81827","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-3148132/"
"Bavaria","44 ft 2002 Bavaria 44 / VAT PAID","44","2002","81841","https://au.yachtworld.com/boats/2002/bavaria-44-vat-paid-3609430/"
"Bavaria","39 ft 2007 Bavaria 39 Cruiser","39","2007","83464","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-2948240/"
"Bavaria","40 ft 2001 Bavaria 40-2","40","2001","85918","https://au.yachtworld.com/boats/2001/bavaria-40-2-3200657/"
"Bavaria","42 ft 2000 Bavaria 42","42","2000","86737","https://au.yachtworld.com/boats/2000/bavaria-42-3542265/"
"Bavaria","40 ft 2008 Bavaria 40 Cruiser","40","2008","86737","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3042929/"
"Bavaria","40 ft 2003 Bavaria 41","40","2003","86737","https://au.yachtworld.com/boats/2003/bavaria-41-3568015/"
"Bavaria","38 ft 2000 Bavaria 37 Cruiser","38","2000","87899","https://au.yachtworld.com/boats/2000/bavaria-37-cruiser-3250685/"
"Bavaria","38 ft 2000 Bavaria 38","38","2000","87899","https://au.yachtworld.com/boats/2000/bavaria-38-3217284/"
"Bavaria","39 ft 2004 Bavaria 38","39","2004","88373","https://au.yachtworld.com/boats/2004/bavaria-38-3527105/"
"Bavaria","38 ft 2004 Bavaria 38","38","2004","89192","https://au.yachtworld.com/boats/2004/bavaria-38-3242222/"
"Bavaria","39 ft 2005 Bavaria 39 Cruiser","39","2005","89928","https://au.yachtworld.com/boats/2005/bavaria-39-cruiser-3019915/"
"Bavaria","43 ft 1992 Bavaria 430 Caribic","43","1992","90010","https://au.yachtworld.com/boats/1992/bavaria-430-caribic-3654033/"
"Bavaria","40 ft 2002 Bavaria 40","40","2002","90010","https://au.yachtworld.com/boats/2002/bavaria-40-3157459/"
"Bavaria","40 ft 2004 Bavaria 38 Cruiser","40","2004","90010","https://au.yachtworld.com/boats/2004/bavaria-38-cruiser-2413521/"
"Bavaria","40 ft 2004 Bavaria 38 Cruiser","40","2004","90010","https://au.yachtworld.com/boats/2004/bavaria-38-cruiser-3137101/"
"Bavaria","39 ft 1994 Bavaria 39","39","1994","90010","https://au.yachtworld.com/boats/1994/bavaria-39-2775188/"
"Bavaria","39 ft 1991 Bavaria 390 Lagoon","39","1991","90010","https://au.yachtworld.com/boats/1991/bavaria-390-lagoon-3596292/"
"Bavaria","39 ft 2006 Bavaria 39 Cruiser","39","2006","90010","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3492921/"
