"model","length","year","price","url"
"46 ft 2004 Hallberg-Rassy 46","46","2004","585670","https://au.yachtworld.com/boats/2004/hallberg-rassy-46-3605320/"
"53 ft 2000 Hallberg-Rassy 53","53","2000","589155","https://au.yachtworld.com/boats/2000/hallberg-rassy-53-3206636/"
"53 ft 2001 Hallberg-Rassy 53","53","2001","597338","https://au.yachtworld.com/boats/2001/hallberg-rassy-53-3642813/"
"53 ft 2001 Hallberg-Rassy 53","53","2001","597338","https://au.yachtworld.com/boats/2001/hallberg-rassy-53-3644803/"
"48 ft 1999 Hallberg-Rassy 46","48","1999","603884","https://au.yachtworld.com/boats/1999/hallberg-rassy-46-3643376/"
"48 ft 1996 Hallberg-Rassy 46","48","1996","613239","https://au.yachtworld.com/boats/1996/hallberg-rassy-46-3571460/"
"53 ft 2000 Hallberg-Rassy 53","53","2000","619449","https://au.yachtworld.com/boats/2000/hallberg-rassy-53-3572533/"
"53 ft 2001 Hallberg-Rassy 53","53","2001","646434","https://au.yachtworld.com/boats/2001/hallberg-rassy-53-3644452/"
"53 ft 2000 Hallberg-Rassy 53","53","2000","646434","https://au.yachtworld.com/boats/2000/hallberg-rassy-53-3579115/"
"53 ft 2000 Hallberg-Rassy 53","53","2000","720078","https://au.yachtworld.com/boats/2000/hallberg-rassy-53-2879156/"
"48 ft 2005 Hallberg-Rassy 48","48","2005","850184","https://au.yachtworld.com/boats/2005/hallberg-rassy-48-3541643/"
"54 ft 2008 Hallberg-Rassy 54","54","2008","1350147","https://au.yachtworld.com/boats/2008/hallberg-rassy-54-3226937/"
"54 ft 2008 Hallberg-Rassy 54","54","2008","1350147","https://au.yachtworld.com/boats/2008/hallberg-rassy-54-3467551/"
