"model","length","year","price","url"
"40 ft 2001 Beneteau Oceanis 411","40","2001","103102","https://au.yachtworld.com/boats/2001/beneteau-oceanis-411-3487392/"
"39 ft 2006 Beneteau CYCLADES 39.3","39","2006","103102","https://au.yachtworld.com/boats/2006/beneteau-cyclades-39-3515441/"
"41 ft 1994 Beneteau First 42S7","41","1994","104739","https://au.yachtworld.com/boats/1994/beneteau-first-42s7-3491859/"
"40 ft 2002 Beneteau Oceanis 411","40","2002","104739","https://au.yachtworld.com/boats/2002/beneteau-oceanis-411-3614067/"
"38 ft 2001 Beneteau 381","38","2001","105462","https://au.yachtworld.com/boats/2001/beneteau-381-3565413/"
"38 ft 1999 Beneteau 381 Oceanis","38","1999","105462","https://au.yachtworld.com/boats/1999/beneteau-381-3616948/"
"40 ft 2001 Beneteau CC","40","2001","105613","https://au.yachtworld.com/boats/2001/beneteau-cc-3649841/"
"39 ft 2007 Beneteau CYCLADES 39.3 / VAT PAID","39","2007","106048","https://au.yachtworld.com/boats/2007/beneteau-cyclades-39-3-vat-paid-3178496/"
"45 ft 1998 Beneteau Oceanis 461","45","1998","106375","https://au.yachtworld.com/boats/1998/beneteau-oceanis-461-3617501/"
"44 ft 1995 Beneteau Oceanis 445","44","1995","106375","https://au.yachtworld.com/boats/1995/beneteau-oceanis-445-3501333/"
"43 ft 2006 Beneteau Cyclades 43.4","43","2006","106375","https://au.yachtworld.com/boats/2006/beneteau-cyclades-43-4-3618087/"
"41 ft 2000 Beneteau Oceanis 411","41","2000","106375","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3588873/"
"41 ft 2000 Beneteau Oceanis 411","41","2000","106375","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3587259/"
"41 ft 2000 Beneteau Oceanis 411","41","2000","106375","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3578787/"
"41 ft 2006 Beneteau Oceanis 423 Clipper","41","2006","106375","https://au.yachtworld.com/boats/2006/beneteau-oceanis-clipper-423-3608420/"
"41 ft 1998 Beneteau Oceanis Clipper 411","41","1998","106375","https://au.yachtworld.com/boats/1998/beneteau-oceanis-clipper-411-2846121/"
"41 ft 2000 Beneteau Oceanis 411","41","2000","106375","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3605898/"
"39 ft 2006 Beneteau Oceanis Clipper 393","39","2006","106375","https://au.yachtworld.com/boats/2006/beneteau-oceanis-clipper-393-2903938/"
"39 ft 2000 Beneteau Oceanis 411","39","2000","106375","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3580994/"
"39 ft 2004 Beneteau First 40.7","39","2004","106375","https://au.yachtworld.com/boats/2004/beneteau-first-40-7-3610182/"
"39 ft 2003 Beneteau Oceanis 393","39","2003","106375","https://au.yachtworld.com/boats/2003/beneteau-oceanis-clipper-393-3607491/"
"39 ft 2007 Beneteau Cyclades 39","39","2007","106375","https://au.yachtworld.com/boats/2007/beneteau-cyclades-39-3253562/"
"39 ft 2005 Beneteau Oceanis Clipper 393","39","2005","106375","https://au.yachtworld.com/boats/2005/beneteau-oceanis-clipper-393-3530066/"
"39 ft 2004 Beneteau Oceanis Clipper 393","39","2004","106375","https://au.yachtworld.com/boats/2004/beneteau-oceanis-clipper-393-3617034/"
"39 ft 2000 Beneteau First 40.7","39","2000","106375","https://au.yachtworld.com/boats/2000/beneteau-first-40-7-3165965/"
"39 ft 2004 Beneteau First 40.7","39","2004","106375","https://au.yachtworld.com/boats/2004/beneteau-first-40-7-3581056/"
"39 ft 2004 Beneteau 393 Ocean Clipper","39","2004","106375","https://au.yachtworld.com/boats/2004/beneteau-oceanis-clipper-393-3644033/"
"38 ft 2004 Beneteau Clipper 393","38","2004","106375","https://au.yachtworld.com/boats/2004/beneteau-clipper-393-3649084/"
"40 ft 2002 Beneteau First 40.7","40","2002","107542","https://au.yachtworld.com/boats/2002/beneteau-first-40-7-3649053/"
"43 ft 1991 Beneteau 430 Oceanis","43","1991","107552","https://au.yachtworld.com/boats/1991/beneteau-430-oceanis-3483790/"
"41 ft 1998 Beneteau Oceanis 411","41","1998","107552","https://au.yachtworld.com/boats/1998/beneteau-oceanis-411-3595007/"
"41 ft 2000 Beneteau Oceanis 411","41","2000","107552","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3487442/"
"40 ft 2000 Beneteau Oceanis 411","40","2000","107552","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3474976/"
"40 ft 2000 Beneteau Oceanis 411","40","2000","107552","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3481863/"
"40 ft 2000 Beneteau Oceanis 411","40","2000","107552","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3242731/"
"40 ft 2000 Beneteau Oceanis 411","40","2000","107552","https://au.yachtworld.com/boats/2000/beneteau-oceanis-411-3507118/"
"39 ft 2007 Beneteau Cyclades 39","39","2007","107552","https://au.yachtworld.com/boats/2007/beneteau-cyclades-39-3597264/"
"49 ft 1991 Beneteau Oceanis 500","49","1991","108012","https://au.yachtworld.com/boats/1991/beneteau-oceanis-500-3228421/"
"41 ft 2002 Beneteau Oceanis 411","41","2002","108012","https://au.yachtworld.com/boats/2002/beneteau-oceanis-411-3650615/"
"39 ft 1997 Beneteau Oceanis 40 CC","39","1997","108012","https://au.yachtworld.com/boats/1997/beneteau-oceanis-40-cc-3508693/"
"40 ft 1993 Beneteau 400","40","1993","108630","https://au.yachtworld.com/boats/1993/beneteau-400-2965526/"
"43 ft 2005 Beneteau Cyclades 43.3","43","2005","108830","https://au.yachtworld.com/boats/2005/beneteau-cyclades-43-3-3608801/"
"43 ft 2005 Beneteau Cyclades 43.3","43","2005","109648","https://au.yachtworld.com/boats/2005/beneteau-cyclades-43-3-3523117/"
"43 ft 2005 Beneteau Cyclades 43.3","43","2005","109648","https://au.yachtworld.com/boats/2005/beneteau-cyclades-43-3-3649121/"
"41 ft 1995 Beneteau Oceanis 40 CC","41","1995","109648","https://au.yachtworld.com/boats/1995/beneteau-oceanis-40-cc-3510136/"
