"model","length","year","price","url"
"38 ft 2004 Bavaria 38","38","2004","93283","https://au.yachtworld.com/boats/2004/bavaria-38-3560999/"
"38 ft 2008 Bavaria 38 Cruiser","38","2008","93283","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3584706/"
"40 ft 2002 Bavaria 40","40","2002","94101","https://au.yachtworld.com/boats/2002/bavaria-40-3599693/"
"43 ft 2000 Bavaria 42","43","2000","94919","https://au.yachtworld.com/boats/2000/bavaria-42-3652427/"
"40 ft 2001 Bavaria 40","40","2001","94919","https://au.yachtworld.com/boats/2001/bavaria-40-3233925/"
"39 ft 2002 Bavaria 40 Cruiser","39","2002","94919","https://au.yachtworld.com/boats/2002/bavaria-40-cruiser-3252758/"
"38 ft 2008 Bavaria 38 Cruiser","38","2008","94919","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3650196/"
"38 ft 1997 Bavaria 38 Holiday","38","1997","95819","https://au.yachtworld.com/boats/1997/bavaria-38-holiday-3592964/"
"45 ft 2002 Bavaria 44 SHALLOW DRAFT","45","2002","96392","https://au.yachtworld.com/boats/2002/bavaria-44-shallow-draft-3650228/"
"45 ft 2002 Bavaria 44","45","2002","96556","https://au.yachtworld.com/boats/2002/bavaria-44-3647016/"
"45 ft 2002 Bavaria 44","45","2002","97374","https://au.yachtworld.com/boats/2002/bavaria-44-3549112/"
"38 ft 2003 Bavaria 38 Cruiser","38","2003","97374","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-2426780/"
"38 ft 1998 Bavaria 38","38","1998","97677","https://au.yachtworld.com/boats/1998/bavaria-38-3587204/"
"38 ft 2001 Bavaria 37 Cruiser","38","2001","97765","https://au.yachtworld.com/boats/2001/bavaria-37-cruiser-3577504/"
"44 ft 2002 Bavaria 44 / NEW ENGINE","44","2002","98029","https://au.yachtworld.com/boats/2002/bavaria-44-new-engine-3005262/"
"39 ft 2006 Bavaria 39 Cruiser","39","2006","98029","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3034169/"
"39 ft 1991 Bavaria 390","39","1991","96214","https://au.yachtworld.com/boats/1991/bavaria-390-3574167/"
"40 ft 2005 Bavaria 38 Cruiser","40","2005","98111","https://au.yachtworld.com/boats/2005/bavaria-38-cruiser-3594842/"
"39 ft 2003 Bavaria 38 Cruiser","39","2003","98184","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-3468393/"
"42 ft 2000 Bavaria Bavaria 42","42","2000","98193","https://au.yachtworld.com/boats/2000/bavaria-bavaria-42-3644983/"
"41 ft 2004 Bavaria 41","41","2004","98193","https://au.yachtworld.com/boats/2004/bavaria-41-3215444/"
"39 ft 2003 Bavaria 38","39","2003","95642","https://au.yachtworld.com/boats/2003/bavaria-38-3591711/"
"45 ft 2002 Bavaria 44","45","2002","101466","https://au.yachtworld.com/boats/2002/bavaria-44-2809728/"
"42 ft 2000 Bavaria 42","42","2000","103102","https://au.yachtworld.com/boats/2000/bavaria-42-3548121/"
"39 ft 2005 Bavaria 38","39","2005","103102","https://au.yachtworld.com/boats/2005/bavaria-38-3541651/"
"39 ft 2005 Bavaria BAVARIA 38","39","2005","103102","https://au.yachtworld.com/boats/2005/bavaria-bavaria-38-3517655/"
