"model","length","year","price","url"
"38 ft 2006 Dufour 385 Grand Large","38","2006","139106","https://au.yachtworld.com/boats/2006/dufour-385-grand-large-2705690/"
"38 ft 2008 Dufour 385 Grand Large","38","2008","139106","https://au.yachtworld.com/boats/2008/dufour-385-grand-large-3606409/"
"40 ft 2004 Dufour 40 Performance","40","2004","140743","https://au.yachtworld.com/boats/2004/dufour-40-performance-3063761/"
"45 ft 1998 Dufour DUFOUR 45 CLASSIC","45","1998","142379","https://au.yachtworld.com/boats/1998/dufour-dufour-45-classic-3645855/"
"44 ft 1998 Dufour DUFOUR 45 CLASSIC","44","1998","142379","https://au.yachtworld.com/boats/1998/dufour-dufour-45-classic-3646454/"
"42 ft 2000 Dufour 43 Classic","42","2000","143331","https://au.yachtworld.com/boats/2000/dufour-43-classic-3210640/"
"39 ft 1999 Dufour 39 CC","39","1999","143331","https://au.yachtworld.com/boats/1999/dufour-39-cc-3561218/"
"39 ft 2003 Dufour 40 Performance","39","2003","144016","https://au.yachtworld.com/boats/2003/dufour-40-performance-3561562/"
"38 ft 2005 Dufour DUFOUR 385 Grand Large","38","2005","144016","https://au.yachtworld.com/boats/2005/dufour-dufour-385-grand-large-3591454/"
"38 ft 2005 Dufour 385","38","2005","144706","https://au.yachtworld.com/boats/2005/dufour-385-2731381/"
"42 ft 2006 Dufour 40 Performance","42","2006","145652","https://au.yachtworld.com/boats/2006/dufour-40-performance-3074378/"
"40 ft 2004 Dufour 40 Performance","40","2004","145652","https://au.yachtworld.com/boats/2004/dufour-40-performance-2824674/"
"39 ft 2006 Dufour 40 Performance","39","2006","145652","https://au.yachtworld.com/boats/2006/dufour-40-performance-3180426/"
"39 ft 2003 Dufour 40","39","2003","145652","https://au.yachtworld.com/boats/2003/dufour-40-3248724/"
"39 ft 2003 Dufour Dufour 40 Pack Performance","39","2003","145652","https://au.yachtworld.com/boats/2003/dufour-dufour-40-pack-performance-3138791/"
"40 ft 2004 Dufour 40 Performance","40","2004","147125","https://au.yachtworld.com/boats/2004/dufour-40-performance-3542618/"
"45 ft 2010 Dufour 455 Grand Large","45","2010","147289","https://au.yachtworld.com/boats/2010/dufour-455-grand-large-3052315/"
"45 ft 2008 Dufour 455 Grand Large","45","2008","147289","https://au.yachtworld.com/boats/2008/dufour-455-grand-large-2928252/"
"39 ft 2004 Dufour 40","39","2004","147289","https://au.yachtworld.com/boats/2004/dufour-40-2861105/"
"39 ft 2010 Dufour 405 Grand Large","39","2010","147289","https://au.yachtworld.com/boats/2010/dufour-405-grand-large-3588858/"
"39 ft 2003 Dufour 40","39","2003","147289","https://au.yachtworld.com/boats/2003/dufour-40-3606951/"
"45 ft 2008 Dufour 455 Grand Large (Engine 2016)","45","2008","147647","https://au.yachtworld.com/boats/2008/dufour-455-grand-large-engine-2016--2654434/"
"39 ft 2004 Dufour 40","39","2004","150562","https://au.yachtworld.com/boats/2004/dufour-40-3221889/"
"39 ft 2007 Dufour 40 SP GTE","39","2007","155471","https://au.yachtworld.com/boats/2007/dufour-40-sp-gte-3647990/"
"39 ft 2007 Dufour 40 SP GTE","39","2007","155471","https://au.yachtworld.com/boats/2007/dufour-40-sp-gte-3067862/"
"45 ft 1997 Dufour 45 Classic","45","1997","160381","https://au.yachtworld.com/boats/1997/dufour-45-classic-3654310/"
"44 ft 2005 Dufour 44","44","2005","160381","https://au.yachtworld.com/boats/2005/dufour-44-3527319/"
"40 ft 2003 Dufour 40 Performance","40","2003","160381","https://au.yachtworld.com/boats/2003/dufour-40-performance-3594532/"
"44 ft 2005 Dufour 44","44","2005","162018","https://au.yachtworld.com/boats/2005/dufour-44-3651894/"
"43 ft 1993 Dufour Gib'Sea 43","43","1993","162018","https://au.yachtworld.com/boats/1993/dufour-gib-sea-43-3035929/"
"41 ft 2010 Dufour 425 Grand Large","41","2010","162018","https://au.yachtworld.com/boats/2010/dufour-425-grand-large-3606439/"
"40 ft 2007 Dufour 40 Performance","40","2007","162018","https://au.yachtworld.com/boats/2007/dufour-40-performance-3590448/"
"49 ft 2001 Dufour 50","49","2001","163654","https://au.yachtworld.com/boats/2001/dufour-50-2425883/"
"44 ft 2008 Dufour Dufour 44","44","2008","163654","https://au.yachtworld.com/boats/2008/dufour-dufour-44-3649271/"
"42 ft 2010 Dufour 425 Grand Large (Engine 2018)","42","2010","163654","https://au.yachtworld.com/boats/2010/dufour-425-grand-large-engine-2018--3588840/"
"45 ft 1998 Dufour classic","45","1998","165963","https://au.yachtworld.com/boats/1998/dufour-classic-3172312/"
"43 ft 2000 Dufour Center Cockpit","43","2000","165963","https://au.yachtworld.com/boats/2000/dufour-center-cockpit-3592110/"
"40 ft 2004 Dufour 40 Performance","40","2004","166119","https://au.yachtworld.com/boats/2004/dufour-40-performance-3585600/"
"42 ft 2002 Dufour Gib'Sea 43","42","2002","168564","https://au.yachtworld.com/boats/2002/dufour-gib-sea-43-3618332/"
"49 ft 1998 Dufour 50 Classic","49","1998","171837","https://au.yachtworld.com/boats/1998/dufour-50-classic-2664517/"
"50 ft 2004 Dufour Gib'Sea 51","50","2004","178383","https://au.yachtworld.com/boats/2004/dufour-gib-sea-51-2280129/"
"43 ft 2006 Dufour Dufour 44 Performance","43","2006","178383","https://au.yachtworld.com/boats/2006/dufour-dufour-44-performance-3477195/"
"44 ft 2003 Dufour 44","44","2003","180020","https://au.yachtworld.com/boats/2003/dufour-44-2977531/"
"44 ft 2004 Dufour 44 Performance","44","2004","180020","https://au.yachtworld.com/boats/2004/dufour-44-performance-3522100/"
"43 ft 1999 Dufour Atoll 43","43","1999","180020","https://au.yachtworld.com/boats/1999/dufour-atoll-43-2532706/"
"40 ft 2004 Dufour 40 Performance","40","2004","180020","https://au.yachtworld.com/boats/2004/dufour-40-performance-3226158/"
"39 ft 2008 Dufour 40 Performance","39","2008","180020","https://au.yachtworld.com/boats/2008/dufour-40-performance-3561130/"
"39 ft 2007 Dufour 40 Performance","39","2007","180020","https://au.yachtworld.com/boats/2007/dufour-40-performance-3052700/"
"39 ft 2010 Dufour 405 Grand Large","39","2010","179478","https://au.yachtworld.com/boats/2010/dufour-405-grand-large-3614366/"
"44 ft 2006 Dufour Dufour 44 Performance Anniversary","44","2006","181656","https://au.yachtworld.com/boats/2006/dufour-dufour-44-performance-anniversary-3609830/"
"40 ft 2007 Dufour 40 Performance","40","2007","185772","https://au.yachtworld.com/boats/2007/dufour-40-performance-3606275/"
"44 ft 2005 Dufour 44","44","2005","188202","https://au.yachtworld.com/boats/2005/dufour-44-3546066/"
"42 ft 2007 Dufour DUFOUR 425","42","2007","188202","https://au.yachtworld.com/boats/2007/dufour-dufour-425-3610636/"
"40 ft 2007 Dufour 40 Performance","40","2007","188202","https://au.yachtworld.com/boats/2007/dufour-40-performance-3568213/"
"42 ft 2007 Dufour 425 Grand Large","42","2007","193112","https://au.yachtworld.com/boats/2007/dufour-425-grand-large-3609848/"
"39 ft 2009 Dufour 405 Grand Large","39","2009","193112","https://au.yachtworld.com/boats/2009/dufour-405-grand-large-3215807/"
"39 ft 2010 Dufour 40E - 40 E Performance","39","2010","190942","https://au.yachtworld.com/boats/2010/dufour-40e-40-e-performance-3585166/"
"45 ft 1996 Dufour 45 Classic","45","1996","193816","https://au.yachtworld.com/boats/1996/dufour-45-classic-3582909/"
"49 ft 2000 Dufour 50 Classic","49","2000","185776","https://au.yachtworld.com/boats/2000/dufour-50-classic-3607239/"
"45 ft 2006 Dufour 455 Grand Large","45","2006","194748","https://au.yachtworld.com/boats/2006/dufour-455-grand-large-3578552/"
"39 ft 2009 Dufour 405 Grand Large","39","2009","194748","https://au.yachtworld.com/boats/2009/dufour-405-grand-large-3578196/"
"44 ft 1998 Dufour 45 Classic","44","1998","196138","https://au.yachtworld.com/boats/1998/dufour-45-classic-2945920/"
"45 ft 2006 Dufour 455","45","2006","196385","https://au.yachtworld.com/boats/2006/dufour-455-3471035/"
"44 ft 2007 Dufour Dufour 455 Grand Large","44","2007","201295","https://au.yachtworld.com/boats/2007/dufour-dufour-455-grand-large-3649817/"
"41 ft 2010 Dufour 425 Grand Large","41","2010","202931","https://au.yachtworld.com/boats/2010/dufour-425-grand-large-3570372/"
"42 ft 2007 Dufour 425 Grand Large","42","2007","203749","https://au.yachtworld.com/boats/2007/dufour-425-grand-large-3484167/"
"45 ft 2009 Dufour 45 Performance","45","2009","204568","https://au.yachtworld.com/boats/2009/dufour-45-performance-3560705/"
"40 ft 2004 Dufour 40 Performance","40","2004","205224","https://au.yachtworld.com/boats/2004/dufour-40-performance-3579019/"
"45 ft 2009 Dufour 455 Grand Large","45","2009","209477","https://au.yachtworld.com/boats/2009/dufour-455-grand-large-3599575/"
"45 ft 1998 Dufour 45 Classic","45","1998","210033","https://au.yachtworld.com/boats/1998/dufour-45-classic-3558599/"
"45 ft 1998 Dufour 45 Classic","45","1998","209901","https://au.yachtworld.com/boats/1998/dufour-45-classic-3650019/"
"42 ft 2009 Dufour 425 Grand Large","42","2009","211114","https://au.yachtworld.com/boats/2009/dufour-425-grand-large-3569330/"
"42 ft 2008 Dufour 425 Grand Large","42","2008","211114","https://au.yachtworld.com/boats/2008/dufour-425-grand-large-3201017/"
"42 ft 2007 Dufour 425 Grand Large","42","2007","213594","https://au.yachtworld.com/boats/2007/dufour-425-grand-large-3596764/"
"45 ft 2008 Dufour 455","45","2008","220933","https://au.yachtworld.com/boats/2008/dufour-455-3651990/"
"45 ft 2006 Dufour Dufour 455","45","2006","220933","https://au.yachtworld.com/boats/2006/dufour-dufour-455-3465333/"
"44 ft 2006 Dufour 44","44","2006","220933","https://au.yachtworld.com/boats/2006/dufour-44-3548027/"
"44 ft 2004 Dufour 44","44","2004","220933","https://au.yachtworld.com/boats/2004/dufour-44-3036175/"
"39 ft 2010 Dufour 425 Grand Large","39","2010","220933","https://au.yachtworld.com/boats/2010/dufour-425-grand-large-3198700/"
"52 ft 1996 Dufour 54 Prestige","52","1996","227479","https://au.yachtworld.com/boats/1996/dufour-54-prestige-3616597/"
"40 ft 2009 Dufour 40 E Performance","40","2009","227479","https://au.yachtworld.com/boats/2009/dufour-40-e-performance-3615442/"
"52 ft 1992 Dufour 54 Prestige","52","1992","229116","https://au.yachtworld.com/boats/1992/dufour-54-prestige-2881410/"
"41 ft 2008 Dufour 425 Grand Large","41","2008","229116","https://au.yachtworld.com/boats/2008/dufour-425-grand-large-3008098/"
"44 ft 2006 Dufour 455 Grand Large","44","2006","235662","https://au.yachtworld.com/boats/2006/dufour-455-grand-large-3612271/"
"42 ft 2010 Dufour 425 Grand Large","42","2010","237135","https://au.yachtworld.com/boats/2010/dufour-425-grand-large-3653612/"
"45 ft 2006 Dufour 455 Grand Large","45","2006","237299","https://au.yachtworld.com/boats/2006/dufour-455-grand-large-2881215/"
"44 ft 2005 Dufour 455 Grand Large","44","2005","237299","https://au.yachtworld.com/boats/2005/dufour-455-grand-large-3641686/"
"42 ft 2009 Dufour 425","42","2009","237299","https://au.yachtworld.com/boats/2009/dufour-425-3510021/"
"41 ft 2010 Dufour 425 Grand Large","41","2010","237299","https://au.yachtworld.com/boats/2010/dufour-425-grand-large-3616287/"
"39 ft 1998 Dufour Nautitech 395","39","1998","237299","https://au.yachtworld.com/boats/1998/dufour-nautitech-395-3515339/"
"45 ft 2010 Dufour 45E Performance","45","2010","241400","https://au.yachtworld.com/boats/2010/dufour-45e-performance-3505605/"
"45 ft 2008 Dufour 45 Performance","45","2008","245481","https://au.yachtworld.com/boats/2008/dufour-45-performance-3202353/"
"42 ft 2008 Dufour 455 Grand Large","42","2008","245481","https://au.yachtworld.com/boats/2008/dufour-455-grand-large-3149396/"
"50 ft 2001 Dufour Atoll 6","50","2001","248944","https://au.yachtworld.com/boats/2001/dufour-atoll-6-3238031/"
"45 ft 2010 Dufour 455 Grand Large","45","2010","253664","https://au.yachtworld.com/boats/2010/dufour-455-grand-large-3205748/"
"47 ft 2009 Dufour 485 Grand Large","47","2009","254214","https://au.yachtworld.com/boats/2009/dufour-485-grand-large-3188846/"
"39 ft 2010 Dufour 40E Performance","39","2010","256937","https://au.yachtworld.com/boats/2010/dufour-40e-performance-3041735/"
