"model","length","year","price","url"
"38 ft 1990 Westerly Oceanranger 38","38","1990","58665","https://au.yachtworld.com/boats/1990/westerly-oceanranger-38-3532494/"
"38 ft 1992 Westerly Oceanranger 38","38","1992","89855","https://au.yachtworld.com/boats/1992/westerly-oceanranger-38-3561080/"
"38 ft 1995 Westerly Oceanranger 38","38","1995","89908","https://au.yachtworld.com/boats/1995/westerly-oceanranger-38-3597189/"
"38 ft 1991 Westerly 38 Oceanranger","38","1991","97865","https://au.yachtworld.com/boats/1991/westerly-38-oceanranger-3510933/"
"40 ft 1993 Westerly Oceanlord","40","1993","109538","https://au.yachtworld.com/boats/1993/westerly-oceanlord-3246796/"
"47 ft 1990 Westerly Oceanmaster 48","47","1990","126832","https://au.yachtworld.com/boats/1990/westerly-oceanmaster-48-2866876/"
"40 ft 1991 Westerly Oceanlord","40","1991","129387","https://au.yachtworld.com/boats/1991/westerly-oceanlord-3594557/"
"40 ft 1998 Westerly Oceanlord","40","1998","175896","https://au.yachtworld.com/boats/1998/westerly-oceanlord-3013502/"
"47 ft 1996 Westerly Ocean 49","47","1996","219365","https://au.yachtworld.com/boats/1996/westerly-ocean-49-3597623/"
